               E1 ,                E2
    12223.5056163 ,     16346.2034595
    2457.77526497 ,     9556.44986244
    26768.1586725 ,     1118.57271385
    934.987704517 ,     597.268518853
    100014.432547 ,     36042.6600723
    21347.8111818 ,     3209.64825896
    60033.9971342 ,     14486.2858795
    275.174899282 ,     575.889815731
    29612.1299757 ,      5866.1881837
    6263.91417447 ,     2.43444682061
     5901.0723635 ,     1537.52637161
    555.101425095 ,     2956.52308721
    9791.10403213 ,     4480.20847855
     6906.3669377 ,     6391.98144588
    868.610293725 ,     6258.69043147
    8127.16768515 ,      6955.3503313
    4558.40813256 ,     173.214364801
    7099.09436759 ,     4762.95595127
     50327.644799 ,     800.979626793
    11804.2231324 ,     10131.9821008
    58738.3768508 ,     5131.27257784
    1276.47454841 ,     1841.51350171
    106058.812636 ,     54965.5251882
    6957.29111041 ,     6746.12410875
    8746.61281148 ,     1971.17312783
    227.154146425 ,     11.4838857272
    3347.60488528 ,     4271.51936484
    5600.23659676 ,     12904.2332021
    13364.4472486 ,     10795.9131741
     30468.217567 ,     804.686605468
    45283.8391183 ,     23058.3581689
    22499.0747314 ,     32695.8317026
    81677.4349847 ,     27763.1072947
    40775.7200261 ,     51517.8971069
    8803.47172389 ,     60.6190960246
    3022.41879305 ,     5348.34131587
    24269.4392426 ,     8497.63550404
    12649.7454461 ,     149.083438441
    3494.82573004 ,     3718.25379792
    13817.0795675 ,     525.826883727
    3739.79851178 ,      279.42793094
    44886.1699652 ,     25856.1261688
    18.1655024661 ,     1922.13831018
    15778.6973381 ,     18198.4531051
    38107.9926408 ,     16313.3491113
    721.460627112 ,     17.1131262024
    739.494867877 ,     4636.52731593
    35043.3813321 ,     9966.80425277
    35367.6787902 ,     7569.67393069
    2064.11101983 ,    0.845976494107
    7669.37408712 ,     3.52466744756
     8292.3782918 ,     20632.1087227
    12121.6700617 ,     833.229076484
    531.522113121 ,     32.3245820897
    18390.0486972 ,     8128.37331203
    193.120173777 ,     1962.46048256
      6108.186901 ,     4.97299917542
     66.275723595 ,   0.0280124856831
    15524.4137373 ,     4468.32113954
    44293.2980962 ,      19171.267934
    15022.2256072 ,     7065.63544925
    335.342425347 ,     6807.11104257
    3105.83554673 ,     6145.20115588
    2138.84397502 ,     5760.21346105
    5135.44508339 ,      4263.9987183
    6284.50453845 ,      5157.0149056
    7106.76895803 ,     5757.46201598
    227.796797666 ,     1809.22014691
    16389.6213695 ,      5576.2938723
    34672.6155277 ,     3379.67998746
    13754.3366577 ,     13952.8184842
    29740.1669747 ,     11434.9001856
    222.839269078 ,     6137.22666693
    26427.9213675 ,     809.483557966
    1954.05825259 ,     28805.7683737
    604.078595688 ,     254.135544591
    73.3989588775 ,     4339.79272733
    26440.4527265 ,     26520.2948276
    5561.76391194 ,     12622.5611216
    17122.4820962 ,     4766.24672328
    689.299764288 ,     2453.05497008
    7546.11686983 ,     10014.7251487
    1248.39159643 ,     74.2437849158
    46293.4967127 ,       12599.58359
    23773.6300271 ,     12853.9996586
    6780.47081584 ,     3468.21884172
    18.3024681945 ,     4179.26117014
    9345.71027204 ,     2819.73915677
    27596.4583621 ,     24549.9255443
     31671.128422 ,     397.113088404
    104.041948436 ,      32.164519154
    42228.8495232 ,     13503.1651339
    4471.76878438 ,     48.1207908939
    3308.40050846 ,     4761.24375787
    506.117240781 ,     762.439173862
     15.204458031 ,     7035.85893077
     162.46062693 ,     18088.5984885
    1647.08567153 ,     386.297262473
    4735.35800575 ,     235.824293934
     1236.1579709 ,      3968.2589485
    15602.8912535 ,     17866.9549249
    1020.80714955 ,     18164.4351581
    37.0486056242 ,     29.4849184973
    5833.52808886 ,     986.357271396
    16466.7515876 ,     308.512591605
    60096.7379259 ,     4880.74789596
    12477.3119953 ,     8952.82493248
    75009.0191958 ,     5980.64282614
    9756.86934902 ,     11495.9284589
    301.218109519 ,     1307.79979811
    4790.40852698 ,     36.5223165173
    16461.9542138 ,      15.920709427
    8947.39335164 ,     17831.0076135
    700.445522738 ,     395.686881901
     12235.485327 ,     9380.95310705
    3804.70831165 ,     1049.43755082
    6199.29330858 ,     3487.17780211
    10899.2492994 ,     21261.8088887
    292.343418051 ,     9097.91856447
    10435.6712112 ,     6703.85731286
    7499.85033208 ,     7461.86042593
    3649.84984893 ,     2574.56797125
    2664.99827343 ,     11002.3329028
    40427.0921188 ,     9446.63747949
    17787.0873828 ,     3013.25341679
    35763.2066436 ,     5551.02875039
    4954.64229858 ,      7930.5143462
    10964.3670433 ,     1431.37999566
   0.342694921138 ,     129.084172234
    8054.52100121 ,     44.4873261115
    12832.5935882 ,     68.4951336677
    15016.7384087 ,      623.31669945
    504.664797285 ,     5.91515520678
     7855.7811256 ,      2884.2309864
    1573.20362846 ,     8265.53677783
    9836.95284815 ,     215.605953038
    228.494142417 ,     1191.87439206
    1917.70135213 ,       235.6719901
    16235.2993141 ,      216.38441522
      30476.57829 ,     7816.26911229
    13199.0235185 ,     29.1905730984
    14812.9856285 ,     1234.01576566
    1.06409364819 ,     19307.5421894
    9468.19489543 ,     9079.05144347
    15580.0856567 ,     1784.79816266
    47070.4055809 ,      24743.023315
    532.830812764 ,      6697.3144034
     20316.024383 ,     25461.0917635
    167.846356045 ,      3184.2772214
    16143.9559035 ,     13285.2857928
    2607.58874273 ,     1215.94597638
     53291.339077 ,     1028.00624896
    10826.2349631 ,     1011.09805174
    20596.1315996 ,     514.909427322
    5190.67312659 ,     536.165286356
    660.670748757 ,     200.561024267
    77.8640746654 ,     10658.0183329
    6607.51024306 ,     33716.7456625
    27449.0209664 ,     5690.88822656
    125.325462766 ,     201.093004903
    598.764159506 ,     2138.69763797
    28987.6819402 ,     4380.05316736
    4635.54048485 ,     11992.0504165
